time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-01T00:00:00.0000000Z,2021-08-01T00:15:00.0000000Z,2021-08-01T00:00:16.7809110Z,2021-08-01T00:14:49.4841540Z,3490.15,3494.05,3461.8,3486.2,225.85,118
2021-08-01T00:15:00.0000000Z,2021-08-01T00:30:00.0000000Z,2021-08-01T00:15:46.1841470Z,2021-08-01T00:29:50.5935480Z,3486.15,3523.85,3484.05,3523.25,9.685,46
2021-08-01T00:30:00.0000000Z,2021-08-01T00:45:00.0000000Z,2021-08-01T00:30:03.2776790Z,2021-08-01T00:44:44.8581310Z,3524,3581.4,3517.35,3571.3,120.436,106
2021-08-01T00:45:00.0000000Z,2021-08-01T01:00:00.0000000Z,2021-08-01T00:45:07.4868960Z,2021-08-01T00:59:59.9054790Z,3569.25,3590.65,3569.25,3583.45,61.566,92
2021-08-01T01:00:00.0000000Z,2021-08-01T01:15:00.0000000Z,2021-08-01T01:00:31.9029430Z,2021-08-01T01:14:44.4299620Z,3582.85,3595,3569.95,3586.9,19.79,66
2021-08-01T01:15:00.0000000Z,2021-08-01T01:30:00.0000000Z,2021-08-01T01:15:15.4787460Z,2021-08-01T01:29:39.6448010Z,3590.3,3590.3,3560,3567.05,9.301,56
2021-08-01T01:30:00.0000000Z,2021-08-01T01:45:00.0000000Z,2021-08-01T01:30:08.3655450Z,2021-08-01T01:44:48.4086530Z,3570.3,3575.6,3566.1,3570.5,12.719,37
2021-08-01T01:45:00.0000000Z,2021-08-01T02:00:00.0000000Z,2021-08-01T01:45:07.3789520Z,2021-08-01T01:58:39.9694820Z,3571.05,3579.8,3569.65,3575.45,7.389,40
2021-08-01T02:00:00.0000000Z,2021-08-01T02:15:00.0000000Z,2021-08-01T02:00:01.0463180Z,2021-08-01T02:14:46.4408260Z,3573.5,3577.8,3565.4,3568.35,1.88,38
2021-08-01T02:15:00.0000000Z,2021-08-01T02:30:00.0000000Z,2021-08-01T02:15:44.5914620Z,2021-08-01T02:29:39.9716280Z,3567.5,3588.95,3567.3,3587.75,1.319,27
2021-08-01T02:30:00.0000000Z,2021-08-01T02:45:00.0000000Z,2021-08-01T02:30:42.0655390Z,2021-08-01T02:44:58.0740400Z,3586.5,3594.2,3582.5,3594.2,2.36,31
2021-08-01T02:45:00.0000000Z,2021-08-01T03:00:00.0000000Z,2021-08-01T02:45:05.0514420Z,2021-08-01T02:59:40.1056030Z,3594.1,3599.75,3583.55,3599.75,8.993,39
2021-08-01T03:00:00.0000000Z,2021-08-01T03:15:00.0000000Z,2021-08-01T03:00:01.1097030Z,2021-08-01T03:14:59.4314600Z,3601.95,3602.75,3587.95,3589.4,2.756,42
